GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,49410
HD02_VD01,Margin of Error; Total:,147
HD01_VD02,Estimate; Total: - Chief executives,127384
HD02_VD02,Margin of Error; Total: - Chief executives,751
HD01_VD03,Estimate; Total: - General and operations managers,81092
HD02_VD03,Margin of Error; Total: - General and operations managers,392
HD01_VD04,Estimate; Total: - Legislators,68534
HD02_VD04,Margin of Error; Total: - Legislators,5556
HD01_VD05,Estimate; Total: - Advertising and promotions managers,76421
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,2332
HD01_VD06,Estimate; Total: - Marketing and sales managers,96054
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,745
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,91756
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,1960
HD01_VD08,Estimate; Total: - Administrative services managers,66971
HD02_VD08,Margin of Error; Total: - Administrative services managers,742
HD01_VD09,Estimate; Total: - Computer and information systems managers,102019
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,448
HD01_VD10,Estimate; Total: - Financial managers,90382
HD02_VD10,Margin of Error; Total: - Financial managers,663
HD01_VD11,Estimate; Total: - Compensation and benefits managers,99830
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,8402
HD01_VD12,Estimate; Total: - Human resources managers,76699
HD02_VD12,Margin of Error; Total: - Human resources managers,781
HD01_VD13,Estimate; Total: - Training and development managers,78881
HD02_VD13,Margin of Error; Total: - Training and development managers,3152
HD01_VD14,Estimate; Total: - Industrial production managers,75762
HD02_VD14,Margin of Error; Total: - Industrial production managers,532
HD01_VD15,Estimate; Total: - Purchasing managers,80626
HD02_VD15,Margin of Error; Total: - Purchasing managers,840
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52536
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",525
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",40220
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",296
HD01_VD18,Estimate; Total: - Construction managers,70015
HD02_VD18,Margin of Error; Total: - Construction managers,596
HD01_VD19,Estimate; Total: - Education administrators,79870
HD02_VD19,Margin of Error; Total: - Education administrators,559
HD01_VD20,Estimate; Total: - Architectural and engineering managers,121954
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1113
HD01_VD21,Estimate; Total: - Food service managers,42020
HD02_VD21,Margin of Error; Total: - Food service managers,288
HD01_VD22,Estimate; Total: - Funeral service managers,71673
HD02_VD22,Margin of Error; Total: - Funeral service managers,2899
HD01_VD23,Estimate; Total: - Gaming managers,53217
HD02_VD23,Margin of Error; Total: - Gaming managers,1679
HD01_VD24,Estimate; Total: - Lodging managers,49761
HD02_VD24,Margin of Error; Total: - Lodging managers,1111
HD01_VD25,Estimate; Total: - Medical and health services managers,85881
HD02_VD25,Margin of Error; Total: - Medical and health services managers,722
HD01_VD26,Estimate; Total: - Natural sciences managers,110189
HD02_VD26,Margin of Error; Total: - Natural sciences managers,4682
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,76785
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1205
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",59897
