GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HC02_EST_VC05,"Male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",46.3
HC02_MOE_VC05,"Male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",0.1
HC03_EST_VC05,"Female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",53.7
HC03_MOE_VC05,"Female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",0.1
HC04_EST_VC05,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",60591
HC04_MOE_VC05,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",130
HC05_EST_VC05,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",71638
HC05_MOE_VC05,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",214
HC06_EST_VC05,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",53360
HC06_MOE_VC05,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations",126
HC01_EST_VC06,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",6357097
HC01_MOE_VC06,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",41379
HC02_EST_VC06,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",76.2
HC02_MOE_VC06,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",0.1
HC03_EST_VC06,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",23.8
HC03_MOE_VC06,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",0.1
HC04_EST_VC06,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",75537
HC04_MOE_VC06,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",121
HC05_EST_VC06,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",78739
HC05_MOE_VC06,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",224
HC06_EST_VC06,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",65624
HC06_MOE_VC06,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:",218
HC01_EST_VC07,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",3143643
HC01_MOE_VC07,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",20628
HC02_EST_VC07,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",74.3
HC02_MOE_VC07,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",0.2
HC03_EST_VC07,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",25.7
HC03_MOE_VC07,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",0.2
HC04_EST_VC07,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",77108
HC04_MOE_VC07,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",161
HC05_EST_VC07,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",80669
HC05_MOE_VC07,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",177
HC06_EST_VC07,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",69733
HC06_MOE_VC07,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations",356
HC01_EST_VC08,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",2261502
HC01_MOE_VC08,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",17615
HC02_EST_VC08,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",86.6
HC02_MOE_VC08,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",0.2
HC03_EST_VC08,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",13.4
HC03_MOE_VC08,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",0.2
HC04_EST_VC08,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",76999
HC04_MOE_VC08,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",179
HC05_EST_VC08,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",79285
HC05_MOE_VC08,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",352
HC06_EST_VC08,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",65900
HC06_MOE_VC08,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations",390
HC01_EST_VC09,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",951952
HC01_MOE_VC09,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",9262
HC02_EST_VC09,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",58.1
HC02_MOE_VC09,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",0.3
HC03_EST_VC09,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",41.9
HC03_MOE_VC09,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",0.3
HC04_EST_VC09,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",63037
HC04_MOE_VC09,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",301
HC05_EST_VC09,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",67557
HC05_MOE_VC09,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",539
HC06_EST_VC09,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",57821
HC06_MOE_VC09,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations",517
