GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,43880
HD02_VD01,Margin of Error; Total:,101
HD01_VD02,Estimate; Total: - Chief executives,118194
HD02_VD02,Margin of Error; Total: - Chief executives,1048
HD01_VD03,Estimate; Total: - General and operations managers,75159
HD02_VD03,Margin of Error; Total: - General and operations managers,329
HD01_VD04,Estimate; Total: - Legislators,62855
HD02_VD04,Margin of Error; Total: - Legislators,3139
HD01_VD05,Estimate; Total: - Advertising and promotions managers,63381
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1644
HD01_VD06,Estimate; Total: - Marketing and sales managers,80786
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,373
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,77544
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,1308
HD01_VD08,Estimate; Total: - Administrative services managers,63934
HD02_VD08,Margin of Error; Total: - Administrative services managers,710
HD01_VD09,Estimate; Total: - Computer and information systems managers,98957
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,588
HD01_VD10,Estimate; Total: - Financial managers,69935
HD02_VD10,Margin of Error; Total: - Financial managers,512
HD01_VD11,Estimate; Total: - Compensation and benefits managers,70778
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,2414
HD01_VD12,Estimate; Total: - Human resources managers,69521
HD02_VD12,Margin of Error; Total: - Human resources managers,754
HD01_VD13,Estimate; Total: - Training and development managers,74496
HD02_VD13,Margin of Error; Total: - Training and development managers,1993
HD01_VD14,Estimate; Total: - Industrial production managers,73965
HD02_VD14,Margin of Error; Total: - Industrial production managers,669
HD01_VD15,Estimate; Total: - Purchasing managers,72195
HD02_VD15,Margin of Error; Total: - Purchasing managers,633
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52671
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",517
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",38248
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",385
HD01_VD18,Estimate; Total: - Construction managers,68954
HD02_VD18,Margin of Error; Total: - Construction managers,785
HD01_VD19,Estimate; Total: - Education administrators,68053
HD02_VD19,Margin of Error; Total: - Education administrators,450
HD01_VD20,Estimate; Total: - Architectural and engineering managers,121501
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1097
HD01_VD21,Estimate; Total: - Food service managers,36995
HD02_VD21,Margin of Error; Total: - Food service managers,228
HD01_VD22,Estimate; Total: - Funeral service managers,68156
HD02_VD22,Margin of Error; Total: - Funeral service managers,3656
HD01_VD23,Estimate; Total: - Gaming managers,51519
HD02_VD23,Margin of Error; Total: - Gaming managers,1751
HD01_VD24,Estimate; Total: - Lodging managers,43298
HD02_VD24,Margin of Error; Total: - Lodging managers,557
HD01_VD25,Estimate; Total: - Medical and health services managers,70226
HD02_VD25,Margin of Error; Total: - Medical and health services managers,403
HD01_VD26,Estimate; Total: - Natural sciences managers,97827
HD02_VD26,Margin of Error; Total: - Natural sciences managers,3689
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,66824
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1001
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",50083
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",405
HD01_VD29,Estimate; Total: - Social and community service managers,55073
HD02_VD29,Margin of Error; Total: - Social and community service managers,448
HD01_VD30,Estimate; Total: - Emergency management directors,68440
HD02_VD30,Margin of Error; Total: - Emergency management directors,4306
HD01_VD31,"Estimate; Total: - Managers, all other",75852
HD02_VD31,"Margin of Error; Total: - Managers, all other",220
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",50803
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",1943
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",52155
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",1940
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",44444
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",521
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",53368
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",345
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",51547
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",319
HD01_VD37,Estimate; Total: - Compliance officers,63815
HD02_VD37,Margin of Error; Total: - Compliance officers,643
HD01_VD38,Estimate; Total: - Cost estimators,61357
HD02_VD38,Margin of Error; Total: - Cost estimators,661
HD01_VD39,Estimate; Total: - Human resources workers,54955
HD02_VD39,Margin of Error; Total: - Human resources workers,378
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",51771
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",722
HD01_VD41,Estimate; Total: - Training and development specialists,56411
HD02_VD41,Margin of Error; Total: - Training and development specialists,963
HD01_VD42,Estimate; Total: - Logisticians,53427
HD02_VD42,Margin of Error; Total: - Logisticians,859
HD01_VD43,Estimate; Total: - Management analysts,80948
HD02_VD43,Margin of Error; Total: - Management analysts,342
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",48179
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",771
HD01_VD45,Estimate; Total: - Fundraisers,59954
HD02_VD45,Margin of Error; Total: - Fundraisers,1238
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,68203
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,1127
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",54835
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",567
HD01_VD48,Estimate; Total: - Accountants and auditors,61743
HD02_VD48,Margin of Error; Total: - Accountants and auditors,187
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,53460
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,871
HD01_VD50,Estimate; Total: - Budget analysts,70314
HD02_VD50,Margin of Error; Total: - Budget analysts,894
HD01_VD51,Estimate; Total: - Credit analysts,52225
HD02_VD51,Margin of Error; Total: - Credit analysts,918
HD01_VD52,Estimate; Total: - Financial analysts,85669
HD02_VD52,Margin of Error; Total: - Financial analysts,1754
HD01_VD53,Estimate; Total: - Personal financial advisors,83068
HD02_VD53,Margin of Error; Total: - Personal financial advisors,1537
HD01_VD54,Estimate; Total: - Insurance underwriters,57523
HD02_VD54,Margin of Error; Total: - Insurance underwriters,767
HD01_VD55,Estimate; Total: - Financial examiners,74036
HD02_VD55,Margin of Error; Total: - Financial examiners,4857
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,54264
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,477
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",51872
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",720
HD01_VD58,Estimate; Total: - Tax preparers,51295
HD02_VD58,Margin of Error; Total: - Tax preparers,1455
HD01_VD59,"Estimate; Total: - Financial specialists, all other",55926
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",1508
HD01_VD60,Estimate; Total: - Computer and information research scientists,95744
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,3562
HD01_VD61,Estimate; Total: - Computer systems analysts,77457
HD02_VD61,Margin of Error; Total: - Computer systems analysts,511
HD01_VD62,Estimate; Total: - Information security analysts,84360
HD02_VD62,Margin of Error; Total: - Information security analysts,1711
HD01_VD63,Estimate; Total: - Computer programmers,80517
HD02_VD63,Margin of Error; Total: - Computer programmers,317
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software",94009
