GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,55788214
HD02_VD01,Margin of Error; Total:,51318
HD01_VD02,Estimate; Total: - Chief executives,741608
HD02_VD02,Margin of Error; Total: - Chief executives,7766
HD01_VD03,Estimate; Total: - General and operations managers,641500
HD02_VD03,Margin of Error; Total: - General and operations managers,8015
HD01_VD04,Estimate; Total: - Legislators,8537
HD02_VD04,Margin of Error; Total: - Legislators,834
HD01_VD05,Estimate; Total: - Advertising and promotions managers,19625
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1337
HD01_VD06,Estimate; Total: - Marketing and sales managers,416503
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,6551
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,16338
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,1421
HD01_VD08,Estimate; Total: - Administrative services managers,70733
HD02_VD08,Margin of Error; Total: - Administrative services managers,2706
HD01_VD09,Estimate; Total: - Computer and information systems managers,348744
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,5718
HD01_VD10,Estimate; Total: - Financial managers,464026
HD02_VD10,Margin of Error; Total: - Financial managers,6252
HD01_VD11,Estimate; Total: - Compensation and benefits managers,2897
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,473
HD01_VD12,Estimate; Total: - Human resources managers,121101
HD02_VD12,Margin of Error; Total: - Human resources managers,3163
HD01_VD13,Estimate; Total: - Training and development managers,19296
HD02_VD13,Margin of Error; Total: - Training and development managers,1307
HD01_VD14,Estimate; Total: - Industrial production managers,167692
HD02_VD14,Margin of Error; Total: - Industrial production managers,3308
HD01_VD15,Estimate; Total: - Purchasing managers,94633
HD02_VD15,Margin of Error; Total: - Purchasing managers,2928
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",156233
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",4049
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",439412
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",5520
HD01_VD18,Estimate; Total: - Construction managers,458228
HD02_VD18,Margin of Error; Total: - Construction managers,7397
HD01_VD19,Estimate; Total: - Education administrators,260877
HD02_VD19,Margin of Error; Total: - Education administrators,4339
HD01_VD20,Estimate; Total: - Architectural and engineering managers,120630
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,2659
HD01_VD21,Estimate; Total: - Food service managers,414904
HD02_VD21,Margin of Error; Total: - Food service managers,6341
HD01_VD22,Estimate; Total: - Funeral service managers,4736
HD02_VD22,Margin of Error; Total: - Funeral service managers,573
HD01_VD23,Estimate; Total: - Gaming managers,8993
HD02_VD23,Margin of Error; Total: - Gaming managers,1025
HD01_VD24,Estimate; Total: - Lodging managers,47842
HD02_VD24,Margin of Error; Total: - Lodging managers,2201
HD01_VD25,Estimate; Total: - Medical and health services managers,163096
HD02_VD25,Margin of Error; Total: - Medical and health services managers,4011
HD01_VD26,Estimate; Total: - Natural sciences managers,9929
HD02_VD26,Margin of Error; Total: - Natural sciences managers,857
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,12288
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,907
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",200958
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",4422
HD01_VD29,Estimate; Total: - Social and community service managers,93113
HD02_VD29,Margin of Error; Total: - Social and community service managers,2597
HD01_VD30,Estimate; Total: - Emergency management directors,5131
HD02_VD30,Margin of Error; Total: - Emergency management directors,613
HD01_VD31,"Estimate; Total: - Managers, all other",1947380
HD02_VD31,"Margin of Error; Total: - Managers, all other",12525
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",16438
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",1440
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",6296
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",662
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",83468
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",2851
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",106964
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",3279
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",97868
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",3507
HD01_VD37,Estimate; Total: - Compliance officers,92978
HD02_VD37,Margin of Error; Total: - Compliance officers,2679
HD01_VD38,Estimate; Total: - Cost estimators,90459
HD02_VD38,Margin of Error; Total: - Cost estimators,3000
HD01_VD39,Estimate; Total: - Human resources workers,153419
HD02_VD39,Margin of Error; Total: - Human resources workers,3812
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",13458
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",1066
