GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,38729
HD02_VD01,Margin of Error; Total:,83
HD01_VD02,Estimate; Total: - Chief executives,95323
HD02_VD02,Margin of Error; Total: - Chief executives,1368
HD01_VD03,Estimate; Total: - General and operations managers,61329
HD02_VD03,Margin of Error; Total: - General and operations managers,579
HD01_VD04,Estimate; Total: - Legislators,55998
HD02_VD04,Margin of Error; Total: - Legislators,2000
HD01_VD05,Estimate; Total: - Advertising and promotions managers,57167
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1777
HD01_VD06,Estimate; Total: - Marketing and sales managers,63813
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,552
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,69342
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,3245
HD01_VD08,Estimate; Total: - Administrative services managers,56642
HD02_VD08,Margin of Error; Total: - Administrative services managers,1443
HD01_VD09,Estimate; Total: - Computer and information systems managers,89804
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,1050
HD01_VD10,Estimate; Total: - Financial managers,57205
HD02_VD10,Margin of Error; Total: - Financial managers,401
HD01_VD11,Estimate; Total: - Compensation and benefits managers,65535
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,1631
HD01_VD12,Estimate; Total: - Human resources managers,65358
HD02_VD12,Margin of Error; Total: - Human resources managers,692
HD01_VD13,Estimate; Total: - Training and development managers,70143
HD02_VD13,Margin of Error; Total: - Training and development managers,1943
HD01_VD14,Estimate; Total: - Industrial production managers,65363
HD02_VD14,Margin of Error; Total: - Industrial production managers,1123
HD01_VD15,Estimate; Total: - Purchasing managers,63762
HD02_VD15,Margin of Error; Total: - Purchasing managers,888
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",53414
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",1549
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",25895
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",530
HD01_VD18,Estimate; Total: - Construction managers,59712
HD02_VD18,Margin of Error; Total: - Construction managers,1749
HD01_VD19,Estimate; Total: - Education administrators,61122
HD02_VD19,Margin of Error; Total: - Education administrators,400
HD01_VD20,Estimate; Total: - Architectural and engineering managers,116825
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,3650
HD01_VD21,Estimate; Total: - Food service managers,31534
HD02_VD21,Margin of Error; Total: - Food service managers,185
HD01_VD22,Estimate; Total: - Funeral service managers,51076
