GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,42898700
HD02_VD01,Margin of Error; Total:,67738
HD01_VD02,Estimate; Total: - Chief executives,241859
HD02_VD02,Margin of Error; Total: - Chief executives,7607
HD01_VD03,Estimate; Total: - General and operations managers,295657
HD02_VD03,Margin of Error; Total: - General and operations managers,8884
HD01_VD04,Estimate; Total: - Legislators,6440
HD02_VD04,Margin of Error; Total: - Legislators,1130
HD01_VD05,Estimate; Total: - Advertising and promotions managers,25240
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,2533
HD01_VD06,Estimate; Total: - Marketing and sales managers,314436
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,9213
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,28057
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,2471
HD01_VD08,Estimate; Total: - Administrative services managers,36830
HD02_VD08,Margin of Error; Total: - Administrative services managers,2702
HD01_VD09,Estimate; Total: - Computer and information systems managers,134679
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,6016
HD01_VD10,Estimate; Total: - Financial managers,529769
HD02_VD10,Margin of Error; Total: - Financial managers,12934
HD01_VD11,Estimate; Total: - Compensation and benefits managers,11269
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,1659
HD01_VD12,Estimate; Total: - Human resources managers,181764
HD02_VD12,Margin of Error; Total: - Human resources managers,6510
HD01_VD13,Estimate; Total: - Training and development managers,21074
HD02_VD13,Margin of Error; Total: - Training and development managers,2268
HD01_VD14,Estimate; Total: - Industrial production managers,40998
HD02_VD14,Margin of Error; Total: - Industrial production managers,2971
HD01_VD15,Estimate; Total: - Purchasing managers,79041
HD02_VD15,Margin of Error; Total: - Purchasing managers,4532
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",33671
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",2802
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",53654
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",3219
HD01_VD18,Estimate; Total: - Construction managers,34857
HD02_VD18,Margin of Error; Total: - Construction managers,3184
HD01_VD19,Estimate; Total: - Education administrators,435909
HD02_VD19,Margin of Error; Total: - Education administrators,11059
HD01_VD20,Estimate; Total: - Architectural and engineering managers,11798
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1726
HD01_VD21,Estimate; Total: - Food service managers,333002
HD02_VD21,Margin of Error; Total: - Food service managers,11515
HD01_VD22,Estimate; Total: - Funeral service managers,1018
HD02_VD22,Margin of Error; Total: - Funeral service managers,377
HD01_VD23,Estimate; Total: - Gaming managers,6662
HD02_VD23,Margin of Error; Total: - Gaming managers,1600
HD01_VD24,Estimate; Total: - Lodging managers,49037
HD02_VD24,Margin of Error; Total: - Lodging managers,3855
HD01_VD25,Estimate; Total: - Medical and health services managers,374381
HD02_VD25,Margin of Error; Total: - Medical and health services managers,9658
HD01_VD26,Estimate; Total: - Natural sciences managers,8133
HD02_VD26,Margin of Error; Total: - Natural sciences managers,1821
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,15888
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1894
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",210414
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",8492
HD01_VD29,Estimate; Total: - Social and community service managers,183449
HD02_VD29,Margin of Error; Total: - Social and community service managers,6482
HD01_VD30,Estimate; Total: - Emergency management directors,1760
HD02_VD30,Margin of Error; Total: - Emergency management directors,629
HD01_VD31,"Estimate; Total: - Managers, all other",977539
HD02_VD31,"Margin of Error; Total: - Managers, all other",19300
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",10919
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",1761
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",1302
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",468
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",83890
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",5273
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",112939
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",4798
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",159143
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",6814
HD01_VD37,Estimate; Total: - Compliance officers,97496
HD02_VD37,Margin of Error; Total: - Compliance officers,4908
HD01_VD38,Estimate; Total: - Cost estimators,14260
HD02_VD38,Margin of Error; Total: - Cost estimators,1842
HD01_VD39,Estimate; Total: - Human resources workers,412954
HD02_VD39,Margin of Error; Total: - Human resources workers,10266
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",39232
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",3563
HD01_VD41,Estimate; Total: - Training and development specialists,55098
HD02_VD41,Margin of Error; Total: - Training and development specialists,3596
HD01_VD42,Estimate; Total: - Logisticians,33807
HD02_VD42,Margin of Error; Total: - Logisticians,3796
HD01_VD43,Estimate; Total: - Management analysts,243193
HD02_VD43,Margin of Error; Total: - Management analysts,8061
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",63648
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",4573
HD01_VD45,Estimate; Total: - Fundraisers,45307
HD02_VD45,Margin of Error; Total: - Fundraisers,3565
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,128015
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,5971
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",113571
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",4946
HD01_VD48,Estimate; Total: - Accountants and auditors,967788
HD02_VD48,Margin of Error; Total: - Accountants and auditors,16971
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,25822
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,2630
HD01_VD50,Estimate; Total: - Budget analysts,26919
HD02_VD50,Margin of Error; Total: - Budget analysts,2527
HD01_VD51,Estimate; Total: - Credit analysts,13404
HD02_VD51,Margin of Error; Total: - Credit analysts,1840
HD01_VD52,Estimate; Total: - Financial analysts,20883
HD02_VD52,Margin of Error; Total: - Financial analysts,2742
HD01_VD53,Estimate; Total: - Personal financial advisors,86863
HD02_VD53,Margin of Error; Total: - Personal financial advisors,5017
HD01_VD54,Estimate; Total: - Insurance underwriters,60904
HD02_VD54,Margin of Error; Total: - Insurance underwriters,4126
HD01_VD55,Estimate; Total: - Financial examiners,5279
HD02_VD55,Margin of Error; Total: - Financial examiners,1007
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,154871
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,7145
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",33343
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",3491
HD01_VD58,Estimate; Total: - Tax preparers,26947
HD02_VD58,Margin of Error; Total: - Tax preparers,2554
HD01_VD59,"Estimate; Total: - Financial specialists, all other",32265
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",3245
HD01_VD60,Estimate; Total: - Computer and information research scientists,3771
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,1154
HD01_VD61,Estimate; Total: - Computer systems analysts,160912
HD02_VD61,Margin of Error; Total: - Computer systems analysts,6644
HD01_VD62,Estimate; Total: - Information security analysts,10172
HD02_VD62,Margin of Error; Total: - Information security analysts,1545
HD01_VD63,Estimate; Total: - Computer programmers,76139
HD02_VD63,Margin of Error; Total: - Computer programmers,4437
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software",183580
HD02_VD64,"Margin of Error; Total: - Software developers, applications and systems software",6032
HD01_VD65,Estimate; Total: - Web developers,40774
HD02_VD65,Margin of Error; Total: - Web developers,3427
HD01_VD66,Estimate; Total: - Computer support specialists,119266
HD02_VD66,Margin of Error; Total: - Computer support specialists,5073
HD01_VD67,Estimate; Total: - Database administrators,39354
HD02_VD67,Margin of Error; Total: - Database administrators,2626
HD01_VD68,Estimate; Total: - Network and computer systems administrators,34996
HD02_VD68,Margin of Error; Total: - Network and computer systems administrators,2939
HD01_VD69,Estimate; Total: - Computer network architects,7476
HD02_VD69,Margin of Error; Total: - Computer network architects,1168
HD01_VD70,"Estimate; Total: - Computer occupations, all other",77063
HD02_VD70,"Margin of Error; Total: - Computer occupations, all other",4272
HD01_VD71,Estimate; Total: - Actuaries,6558
HD02_VD71,Margin of Error; Total: - Actuaries,1020
HD01_VD72,Estimate; Total: - Mathematicians,330
HD02_VD72,Margin of Error; Total: - Mathematicians,219
HD01_VD73,Estimate; Total: - Operations research analysts,58430
HD02_VD73,Margin of Error; Total: - Operations research analysts,3632
HD01_VD74,Estimate; Total: - Statisticians,15202
HD02_VD74,Margin of Error; Total: - Statisticians,1766
HD01_VD75,Estimate; Total: - Miscellaneous mathematical science occupations,1712
