GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,56877810
HD02_VD01,Margin of Error; Total:,76036
HD01_VD02,Estimate; Total: - Chief executives,782400
HD02_VD02,Margin of Error; Total: - Chief executives,12515
HD01_VD03,Estimate; Total: - General and operations managers,681627
HD02_VD03,Margin of Error; Total: - General and operations managers,12675
HD01_VD04,Estimate; Total: - Legislators,8375
HD02_VD04,Margin of Error; Total: - Legislators,1521
HD01_VD05,Estimate; Total: - Advertising and promotions managers,17775
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1941
HD01_VD06,Estimate; Total: - Marketing and sales managers,440078
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,10240
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,16141
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,2063
HD01_VD08,Estimate; Total: - Administrative services managers,72873
HD02_VD08,Margin of Error; Total: - Administrative services managers,3523
HD01_VD09,Estimate; Total: - Computer and information systems managers,354369
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,9170
HD01_VD10,Estimate; Total: - Financial managers,460842
HD02_VD10,Margin of Error; Total: - Financial managers,11214
HD01_VD11,Estimate; Total: - Compensation and benefits managers,3387
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,812
HD01_VD12,Estimate; Total: - Human resources managers,125240
HD02_VD12,Margin of Error; Total: - Human resources managers,6251
HD01_VD13,Estimate; Total: - Training and development managers,20111
HD02_VD13,Margin of Error; Total: - Training and development managers,2465
HD01_VD14,Estimate; Total: - Industrial production managers,177200
HD02_VD14,Margin of Error; Total: - Industrial production managers,6056
HD01_VD15,Estimate; Total: - Purchasing managers,96499
HD02_VD15,Margin of Error; Total: - Purchasing managers,5399
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",151841
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",6195
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",446121
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",9390
HD01_VD18,Estimate; Total: - Construction managers,434849
HD02_VD18,Margin of Error; Total: - Construction managers,11283
HD01_VD19,Estimate; Total: - Education administrators,272330
HD02_VD19,Margin of Error; Total: - Education administrators,8175
HD01_VD20,Estimate; Total: - Architectural and engineering managers,120777
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,5317
HD01_VD21,Estimate; Total: - Food service managers,407357
HD02_VD21,Margin of Error; Total: - Food service managers,12143
HD01_VD22,Estimate; Total: - Funeral service managers,4421
HD02_VD22,Margin of Error; Total: - Funeral service managers,1129
HD01_VD23,Estimate; Total: - Gaming managers,10632
HD02_VD23,Margin of Error; Total: - Gaming managers,1683
HD01_VD24,Estimate; Total: - Lodging managers,47382
HD02_VD24,Margin of Error; Total: - Lodging managers,3990
HD01_VD25,Estimate; Total: - Medical and health services managers,171661
HD02_VD25,Margin of Error; Total: - Medical and health services managers,6609
HD01_VD26,Estimate; Total: - Natural sciences managers,8633
HD02_VD26,Margin of Error; Total: - Natural sciences managers,1297
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,12394
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1685
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",203818
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",7385
HD01_VD29,Estimate; Total: - Social and community service managers,96503
HD02_VD29,Margin of Error; Total: - Social and community service managers,4866
HD01_VD30,Estimate; Total: - Emergency management directors,4662
