GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,48743
HD02_VD01,Margin of Error; Total:,100
HD01_VD02,Estimate; Total: - Chief executives,126357
HD02_VD02,Margin of Error; Total: - Chief executives,963
HD01_VD03,Estimate; Total: - General and operations managers,80972
HD02_VD03,Margin of Error; Total: - General and operations managers,610
HD01_VD04,Estimate; Total: - Legislators,67930
HD02_VD04,Margin of Error; Total: - Legislators,10035
HD01_VD05,Estimate; Total: - Advertising and promotions managers,72418
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,3706
HD01_VD06,Estimate; Total: - Marketing and sales managers,94783
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,1419
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,91785
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,2804
HD01_VD08,Estimate; Total: - Administrative services managers,66015
HD02_VD08,Margin of Error; Total: - Administrative services managers,1266
HD01_VD09,Estimate; Total: - Computer and information systems managers,101270
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,487
HD01_VD10,Estimate; Total: - Financial managers,89544
HD02_VD10,Margin of Error; Total: - Financial managers,1408
HD01_VD11,Estimate; Total: - Compensation and benefits managers,100181
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,8453
HD01_VD12,Estimate; Total: - Human resources managers,75670
HD02_VD12,Margin of Error; Total: - Human resources managers,1368
HD01_VD13,Estimate; Total: - Training and development managers,78573
HD02_VD13,Margin of Error; Total: - Training and development managers,4473
HD01_VD14,Estimate; Total: - Industrial production managers,74632
HD02_VD14,Margin of Error; Total: - Industrial production managers,1075
HD01_VD15,Estimate; Total: - Purchasing managers,80837
HD02_VD15,Margin of Error; Total: - Purchasing managers,1199
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",51693
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",451
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",40821
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",231
HD01_VD18,Estimate; Total: - Construction managers,68662
HD02_VD18,Margin of Error; Total: - Construction managers,1017
HD01_VD19,Estimate; Total: - Education administrators,78343
HD02_VD19,Margin of Error; Total: - Education administrators,933
HD01_VD20,Estimate; Total: - Architectural and engineering managers,122776
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1375
HD01_VD21,Estimate; Total: - Food service managers,41466
HD02_VD21,Margin of Error; Total: - Food service managers,271
HD01_VD22,Estimate; Total: - Funeral service managers,73144
HD02_VD22,Margin of Error; Total: - Funeral service managers,2850
HD01_VD23,Estimate; Total: - Gaming managers,51915
HD02_VD23,Margin of Error; Total: - Gaming managers,2857
HD01_VD24,Estimate; Total: - Lodging managers,49760
HD02_VD24,Margin of Error; Total: - Lodging managers,2016
HD01_VD25,Estimate; Total: - Medical and health services managers,85320
HD02_VD25,Margin of Error; Total: - Medical and health services managers,1309
HD01_VD26,Estimate; Total: - Natural sciences managers,110709
HD02_VD26,Margin of Error; Total: - Natural sciences managers,5791
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,75911
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1717
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",58707
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",1717
