GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,55178222
HD02_VD01,Margin of Error; Total:,67371
HD01_VD02,Estimate; Total: - Chief executives,741503
HD02_VD02,Margin of Error; Total: - Chief executives,5663
HD01_VD03,Estimate; Total: - General and operations managers,629688
HD02_VD03,Margin of Error; Total: - General and operations managers,6210
HD01_VD04,Estimate; Total: - Legislators,7689
HD02_VD04,Margin of Error; Total: - Legislators,640
HD01_VD05,Estimate; Total: - Advertising and promotions managers,20490
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,980
HD01_VD06,Estimate; Total: - Marketing and sales managers,421559
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,4201
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,18662
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,937
HD01_VD08,Estimate; Total: - Administrative services managers,69860
HD02_VD08,Margin of Error; Total: - Administrative services managers,1767
HD01_VD09,Estimate; Total: - Computer and information systems managers,338168
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,4765
HD01_VD10,Estimate; Total: - Financial managers,461296
HD02_VD10,Margin of Error; Total: - Financial managers,5332
HD01_VD11,Estimate; Total: - Compensation and benefits managers,3883
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,407
HD01_VD12,Estimate; Total: - Human resources managers,122819
HD02_VD12,Margin of Error; Total: - Human resources managers,2572
HD01_VD13,Estimate; Total: - Training and development managers,19910
HD02_VD13,Margin of Error; Total: - Training and development managers,1135
HD01_VD14,Estimate; Total: - Industrial production managers,170747
HD02_VD14,Margin of Error; Total: - Industrial production managers,2955
HD01_VD15,Estimate; Total: - Purchasing managers,97033
HD02_VD15,Margin of Error; Total: - Purchasing managers,2324
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",159051
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",2504
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",438563
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",3359
HD01_VD18,Estimate; Total: - Construction managers,490542
HD02_VD18,Margin of Error; Total: - Construction managers,5103
HD01_VD19,Estimate; Total: - Education administrators,262963
HD02_VD19,Margin of Error; Total: - Education administrators,4544
HD01_VD20,Estimate; Total: - Architectural and engineering managers,124378
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,2670
HD01_VD21,Estimate; Total: - Food service managers,414175
HD02_VD21,Margin of Error; Total: - Food service managers,6120
HD01_VD22,Estimate; Total: - Funeral service managers,4986
HD02_VD22,Margin of Error; Total: - Funeral service managers,534
HD01_VD23,Estimate; Total: - Gaming managers,9415
HD02_VD23,Margin of Error; Total: - Gaming managers,713
HD01_VD24,Estimate; Total: - Lodging managers,49667
HD02_VD24,Margin of Error; Total: - Lodging managers,1620
HD01_VD25,Estimate; Total: - Medical and health services managers,161229
HD02_VD25,Margin of Error; Total: - Medical and health services managers,2692
HD01_VD26,Estimate; Total: - Natural sciences managers,11197
HD02_VD26,Margin of Error; Total: - Natural sciences managers,741
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,13657
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,796
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",204660
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",2824
HD01_VD29,Estimate; Total: - Social and community service managers,90415
HD02_VD29,Margin of Error; Total: - Social and community service managers,2273
HD01_VD30,Estimate; Total: - Emergency management directors,4221
HD02_VD30,Margin of Error; Total: - Emergency management directors,478
HD01_VD31,"Estimate; Total: - Managers, all other",1887917
HD02_VD31,"Margin of Error; Total: - Managers, all other",10740
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",17397
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",1102
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",6731
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",549
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",82248
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",1949
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",106487
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",2263
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",98854
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",2143
HD01_VD37,Estimate; Total: - Compliance officers,92171
HD02_VD37,Margin of Error; Total: - Compliance officers,2282
HD01_VD38,Estimate; Total: - Cost estimators,92560
HD02_VD38,Margin of Error; Total: - Cost estimators,2182
HD01_VD39,Estimate; Total: - Human resources workers,150327
HD02_VD39,Margin of Error; Total: - Human resources workers,2886
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",13632
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",823
HD01_VD41,Estimate; Total: - Training and development specialists,46943
HD02_VD41,Margin of Error; Total: - Training and development specialists,1677
HD01_VD42,Estimate; Total: - Logisticians,54366
HD02_VD42,Margin of Error; Total: - Logisticians,1847
HD01_VD43,Estimate; Total: - Management analysts,321509
HD02_VD43,Margin of Error; Total: - Management analysts,3821
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",13976
