GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate
HD01_VD50,Estimate; Total: - Budget analysts
HD02_VD50,Margin of Error; Total: - Budget analysts
HD01_VD51,Estimate; Total: - Credit analysts
HD02_VD51,Margin of Error; Total: - Credit analysts
HD01_VD52,Estimate; Total: - Financial analysts
HD02_VD52,Margin of Error; Total: - Financial analysts
HD01_VD53,Estimate; Total: - Personal financial advisors
HD02_VD53,Margin of Error; Total: - Personal financial advisors
HD01_VD54,Estimate; Total: - Insurance underwriters
HD02_VD54,Margin of Error; Total: - Insurance underwriters
HD01_VD55,Estimate; Total: - Financial examiners
HD02_VD55,Margin of Error; Total: - Financial examiners
HD01_VD56,Estimate; Total: - Credit counselors and loan officers
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents"
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents"
HD01_VD58,Estimate; Total: - Tax preparers
HD02_VD58,Margin of Error; Total: - Tax preparers
HD01_VD59,"Estimate; Total: - Financial specialists, all other"
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other"
HD01_VD60,Estimate; Total: - Computer and information research scientists
HD02_VD60,Margin of Error; Total: - Computer and information research scientists
HD01_VD61,Estimate; Total: - Computer systems analysts
HD02_VD61,Margin of Error; Total: - Computer systems analysts
HD01_VD62,Estimate; Total: - Information security analysts
HD02_VD62,Margin of Error; Total: - Information security analysts
HD01_VD63,Estimate; Total: - Computer programmers
HD02_VD63,Margin of Error; Total: - Computer programmers
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software"
HD02_VD64,"Margin of Error; Total: - Software developers, applications and systems software"
HD01_VD65,Estimate; Total: - Web developers
HD02_VD65,Margin of Error; Total: - Web developers
HD01_VD66,Estimate; Total: - Computer support specialists
HD02_VD66,Margin of Error; Total: - Computer support specialists
HD01_VD67,Estimate; Total: - Database administrators
HD02_VD67,Margin of Error; Total: - Database administrators
HD01_VD68,Estimate; Total: - Network and computer systems administrators
HD02_VD68,Margin of Error; Total: - Network and computer systems administrators
HD01_VD69,Estimate; Total: - Computer network architects
HD02_VD69,Margin of Error; Total: - Computer network architects
HD01_VD70,"Estimate; Total: - Computer occupations, all other"
HD02_VD70,"Margin of Error; Total: - Computer occupations, all other"
HD01_VD71,Estimate; Total: - Actuaries
HD02_VD71,Margin of Error; Total: - Actuaries
HD01_VD72,Estimate; Total: - Mathematicians
HD02_VD72,Margin of Error; Total: - Mathematicians
HD01_VD73,Estimate; Total: - Operations research analysts
HD02_VD73,Margin of Error; Total: - Operations research analysts
HD01_VD74,Estimate; Total: - Statisticians
HD02_VD74,Margin of Error; Total: - Statisticians
HD01_VD75,Estimate; Total: - Miscellaneous mathematical science occupations
HD02_VD75,Margin of Error; Total: - Miscellaneous mathematical science occupations
HD01_VD76,"Estimate; Total: - Architects, except naval"
HD02_VD76,"Margin of Error; Total: - Architects, except naval"
HD01_VD77,"Estimate; Total: - Surveyors, cartographers, and photogrammetrists"
HD02_VD77,"Margin of Error; Total: - Surveyors, cartographers, and photogrammetrists"
HD01_VD78,Estimate; Total: - Aerospace engineers
HD02_VD78,Margin of Error; Total: - Aerospace engineers
HD01_VD79,Estimate; Total: - Agricultural engineers
HD02_VD79,Margin of Error; Total: - Agricultural engineers
HD01_VD80,Estimate; Total: - Biomedical engineers
HD02_VD80,Margin of Error; Total: - Biomedical engineers
HD01_VD81,Estimate; Total: - Chemical engineers
HD02_VD81,Margin of Error; Total: - Chemical engineers
HD01_VD82,Estimate; Total: - Civil engineers
HD02_VD82,Margin of Error; Total: - Civil engineers
HD01_VD83,Estimate; Total: - Computer hardware engineers
HD02_VD83,Margin of Error; Total: - Computer hardware engineers
HD01_VD84,Estimate; Total: - Electrical and electronics engineers
HD02_VD84,Margin of Error; Total: - Electrical and electronics engineers
HD01_VD85,Estimate; Total: - Environmental engineers
HD02_VD85,Margin of Error; Total: - Environmental engineers
HD01_VD86,"Estimate; Total: - Industrial engineers, including health and safety"
HD02_VD86,"Margin of Error; Total: - Industrial engineers, including health and safety"
HD01_VD87,Estimate; Total: - Marine engineers and naval architects
HD02_VD87,Margin of Error; Total: - Marine engineers and naval architects
HD01_VD88,Estimate; Total: - Materials engineers
HD02_VD88,Margin of Error; Total: - Materials engineers
HD01_VD89,Estimate; Total: - Mechanical engineers
HD02_VD89,Margin of Error; Total: - Mechanical engineers
HD01_VD90,"Estimate; Total: - Mining and geological engineers, including mining safety engineers"
HD02_VD90,"Margin of Error; Total: - Mining and geological engineers, including mining safety engineers"
HD01_VD91,Estimate; Total: - Nuclear engineers
HD02_VD91,Margin of Error; Total: - Nuclear engineers
HD01_VD92,Estimate; Total: - Petroleum engineers
HD02_VD92,Margin of Error; Total: - Petroleum engineers
HD01_VD93,"Estimate; Total: - Engineers, all other"
HD02_VD93,"Margin of Error; Total: - Engineers, all other"
HD01_VD94,Estimate; Total: - Drafters
HD02_VD94,Margin of Error; Total: - Drafters
HD01_VD95,"Estimate; Total: - Engineering technicians, except drafters"
HD02_VD95,"Margin of Error; Total: - Engineering technicians, except drafters"
HD01_VD96,Estimate; Total: - Surveying and mapping technicians
HD02_VD96,Margin of Error; Total: - Surveying and mapping technicians
HD01_VD97,Estimate; Total: - Agricultural and food scientists
HD02_VD97,Margin of Error; Total: - Agricultural and food scientists
HD01_VD98,Estimate; Total: - Biological scientists
HD02_VD98,Margin of Error; Total: - Biological scientists
HD01_VD99,Estimate; Total: - Conservation scientists and foresters
HD02_VD99,Margin of Error; Total: - Conservation scientists and foresters
HD01_VD100,Estimate; Total: - Medical scientists
