GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,98059442
HD02_VD01,Margin of Error; Total:,70355
HD01_VD02,Estimate; Total: - Chief executives,956772
HD02_VD02,Margin of Error; Total: - Chief executives,9021
HD01_VD03,Estimate; Total: - General and operations managers,914983
HD02_VD03,Margin of Error; Total: - General and operations managers,8816
HD01_VD04,Estimate; Total: - Legislators,13751
HD02_VD04,Margin of Error; Total: - Legislators,956
HD01_VD05,Estimate; Total: - Advertising and promotions managers,45259
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1919
HD01_VD06,Estimate; Total: - Marketing and sales managers,720083
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,9301
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,41488
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,1992
HD01_VD08,Estimate; Total: - Administrative services managers,106719
HD02_VD08,Margin of Error; Total: - Administrative services managers,3418
HD01_VD09,Estimate; Total: - Computer and information systems managers,484938
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,6854
HD01_VD10,Estimate; Total: - Financial managers,978868
HD02_VD10,Margin of Error; Total: - Financial managers,9578
HD01_VD11,Estimate; Total: - Compensation and benefits managers,13617
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,1119
HD01_VD12,Estimate; Total: - Human resources managers,298486
HD02_VD12,Margin of Error; Total: - Human resources managers,5312
HD01_VD13,Estimate; Total: - Training and development managers,39464
HD02_VD13,Margin of Error; Total: - Training and development managers,1634
HD01_VD14,Estimate; Total: - Industrial production managers,204869
HD02_VD14,Margin of Error; Total: - Industrial production managers,3434
HD01_VD15,Estimate; Total: - Purchasing managers,172529
HD02_VD15,Margin of Error; Total: - Purchasing managers,3795
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",188003
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",4350
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",492970
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",6060
HD01_VD18,Estimate; Total: - Construction managers,491920
