GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,42081501
HD02_VD01,Margin of Error; Total:,30595
HD01_VD02,Estimate; Total: - Chief executives,208826
HD02_VD02,Margin of Error; Total: - Chief executives,3202
HD01_VD03,Estimate; Total: - General and operations managers,264006
HD02_VD03,Margin of Error; Total: - General and operations managers,3509
HD01_VD04,Estimate; Total: - Legislators,5072
HD02_VD04,Margin of Error; Total: - Legislators,454
HD01_VD05,Estimate; Total: - Advertising and promotions managers,25076
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1228
HD01_VD06,Estimate; Total: - Marketing and sales managers,306423
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,3953
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,27343
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,1173
HD01_VD08,Estimate; Total: - Administrative services managers,35957
HD02_VD08,Margin of Error; Total: - Administrative services managers,1344
HD01_VD09,Estimate; Total: - Computer and information systems managers,135737
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,2095
HD01_VD10,Estimate; Total: - Financial managers,513578
HD02_VD10,Margin of Error; Total: - Financial managers,5439
HD01_VD11,Estimate; Total: - Compensation and benefits managers,14244
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,865
HD01_VD12,Estimate; Total: - Human resources managers,177594
HD02_VD12,Margin of Error; Total: - Human resources managers,3291
HD01_VD13,Estimate; Total: - Training and development managers,20280
HD02_VD13,Margin of Error; Total: - Training and development managers,970
HD01_VD14,Estimate; Total: - Industrial production managers,37379
HD02_VD14,Margin of Error; Total: - Industrial production managers,1244
HD01_VD15,Estimate; Total: - Purchasing managers,78436
HD02_VD15,Margin of Error; Total: - Purchasing managers,2003
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",33872
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",1394
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",54860
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",1493
HD01_VD18,Estimate; Total: - Construction managers,35110
HD02_VD18,Margin of Error; Total: - Construction managers,1171
HD01_VD19,Estimate; Total: - Education administrators,437556
HD02_VD19,Margin of Error; Total: - Education administrators,4810
HD01_VD20,Estimate; Total: - Architectural and engineering managers,12003
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,704
HD01_VD21,Estimate; Total: - Food service managers,324757
HD02_VD21,Margin of Error; Total: - Food service managers,5512
HD01_VD22,Estimate; Total: - Funeral service managers,1299
HD02_VD22,Margin of Error; Total: - Funeral service managers,249
HD01_VD23,Estimate; Total: - Gaming managers,5981
HD02_VD23,Margin of Error; Total: - Gaming managers,604
HD01_VD24,Estimate; Total: - Lodging managers,49915
HD02_VD24,Margin of Error; Total: - Lodging managers,1595
HD01_VD25,Estimate; Total: - Medical and health services managers,356662
