GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,38233
HD02_VD01,Margin of Error; Total:,136
HD01_VD02,Estimate; Total: - Chief executives,95921
HD02_VD02,Margin of Error; Total: - Chief executives,3955
HD01_VD03,Estimate; Total: - General and operations managers,60759
HD02_VD03,Margin of Error; Total: - General and operations managers,849
HD01_VD04,Estimate; Total: - Legislators,65325
HD02_VD04,Margin of Error; Total: - Legislators,6411
HD01_VD05,Estimate; Total: - Advertising and promotions managers,55860
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,4339
HD01_VD06,Estimate; Total: - Marketing and sales managers,65040
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,1903
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,66052
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,3766
HD01_VD08,Estimate; Total: - Administrative services managers,55079
HD02_VD08,Margin of Error; Total: - Administrative services managers,3269
HD01_VD09,Estimate; Total: - Computer and information systems managers,90940
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,1401
HD01_VD10,Estimate; Total: - Financial managers,57406
HD02_VD10,Margin of Error; Total: - Financial managers,1330
HD01_VD11,Estimate; Total: - Compensation and benefits managers,68207
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,5924
HD01_VD12,Estimate; Total: - Human resources managers,64662
HD02_VD12,Margin of Error; Total: - Human resources managers,2343
HD01_VD13,Estimate; Total: - Training and development managers,71091
HD02_VD13,Margin of Error; Total: - Training and development managers,3258
HD01_VD14,Estimate; Total: - Industrial production managers,65033
HD02_VD14,Margin of Error; Total: - Industrial production managers,3223
HD01_VD15,Estimate; Total: - Purchasing managers,62785
HD02_VD15,Margin of Error; Total: - Purchasing managers,1747
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52259
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",2755
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",25310
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",2071
HD01_VD18,Estimate; Total: - Construction managers,62198
HD02_VD18,Margin of Error; Total: - Construction managers,3936
HD01_VD19,Estimate; Total: - Education administrators,60580
HD02_VD19,Margin of Error; Total: - Education administrators,698
HD01_VD20,Estimate; Total: - Architectural and engineering managers,113507
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,8653
HD01_VD21,Estimate; Total: - Food service managers,31578
HD02_VD21,Margin of Error; Total: - Food service managers,399
HD01_VD22,Estimate; Total: - Funeral service managers,52125
HD02_VD22,Margin of Error; Total: - Funeral service managers,24468
HD01_VD23,Estimate; Total: - Gaming managers,47845
HD02_VD23,Margin of Error; Total: - Gaming managers,10614
HD01_VD24,Estimate; Total: - Lodging managers,36533
HD02_VD24,Margin of Error; Total: - Lodging managers,1524
