GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,38226
HD02_VD01,Margin of Error; Total:,74
HD01_VD02,Estimate; Total: - Chief executives,94721
HD02_VD02,Margin of Error; Total: - Chief executives,2344
HD01_VD03,Estimate; Total: - General and operations managers,60966
HD02_VD03,Margin of Error; Total: - General and operations managers,664
HD01_VD04,Estimate; Total: - Legislators,56126
HD02_VD04,Margin of Error; Total: - Legislators,3631
HD01_VD05,Estimate; Total: - Advertising and promotions managers,56072
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,2102
HD01_VD06,Estimate; Total: - Marketing and sales managers,63221
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,901
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,70765
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,2071
HD01_VD08,Estimate; Total: - Administrative services managers,58317
HD02_VD08,Margin of Error; Total: - Administrative services managers,2272
HD01_VD09,Estimate; Total: - Computer and information systems managers,90173
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,1198
HD01_VD10,Estimate; Total: - Financial managers,57008
HD02_VD10,Margin of Error; Total: - Financial managers,564
HD01_VD11,Estimate; Total: - Compensation and benefits managers,69197
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,5556
HD01_VD12,Estimate; Total: - Human resources managers,65056
HD02_VD12,Margin of Error; Total: - Human resources managers,1056
HD01_VD13,Estimate; Total: - Training and development managers,70464
HD02_VD13,Margin of Error; Total: - Training and development managers,2207
HD01_VD14,Estimate; Total: - Industrial production managers,65951
HD02_VD14,Margin of Error; Total: - Industrial production managers,1118
HD01_VD15,Estimate; Total: - Purchasing managers,62765
HD02_VD15,Margin of Error; Total: - Purchasing managers,1576
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52043
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",1566
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",25812
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",717
HD01_VD18,Estimate; Total: - Construction managers,60972
HD02_VD18,Margin of Error; Total: - Construction managers,1958
HD01_VD19,Estimate; Total: - Education administrators,60703
HD02_VD19,Margin of Error; Total: - Education administrators,379
HD01_VD20,Estimate; Total: - Architectural and engineering managers,116616
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,5760
HD01_VD21,Estimate; Total: - Food service managers,31121
HD02_VD21,Margin of Error; Total: - Food service managers,324
HD01_VD22,Estimate; Total: - Funeral service managers,52222
HD02_VD22,Margin of Error; Total: - Funeral service managers,3000
HD01_VD23,Estimate; Total: - Gaming managers,46036
HD02_VD23,Margin of Error; Total: - Gaming managers,3781
HD01_VD24,Estimate; Total: - Lodging managers,38972
HD02_VD24,Margin of Error; Total: - Lodging managers,1670
HD01_VD25,Estimate; Total: - Medical and health services managers,64528
HD02_VD25,Margin of Error; Total: - Medical and health services managers,724
HD01_VD26,Estimate; Total: - Natural sciences managers,85094
HD02_VD26,Margin of Error; Total: - Natural sciences managers,4508
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,59167
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1637
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",42395
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",510
HD01_VD29,Estimate; Total: - Social and community service managers,51845
HD02_VD29,Margin of Error; Total: - Social and community service managers,459
HD01_VD30,Estimate; Total: - Emergency management directors,59500
HD02_VD30,Margin of Error; Total: - Emergency management directors,14265
HD01_VD31,"Estimate; Total: - Managers, all other",64084
HD02_VD31,"Margin of Error; Total: - Managers, all other",594
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",46887
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",2564
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",50814
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",9740
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",42911
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",1232
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",49735
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",713
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",46758
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",506
HD01_VD37,Estimate; Total: - Compliance officers,59346
HD02_VD37,Margin of Error; Total: - Compliance officers,1222
HD01_VD38,Estimate; Total: - Cost estimators,49200
HD02_VD38,Margin of Error; Total: - Cost estimators,1668
HD01_VD39,Estimate; Total: - Human resources workers,51924
HD02_VD39,Margin of Error; Total: - Human resources workers,327
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",49108
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",992
HD01_VD41,Estimate; Total: - Training and development specialists,50631
HD02_VD41,Margin of Error; Total: - Training and development specialists,711
HD01_VD42,Estimate; Total: - Logisticians,48900
HD02_VD42,Margin of Error; Total: - Logisticians,1597
HD01_VD43,Estimate; Total: - Management analysts,71166
HD02_VD43,Margin of Error; Total: - Management analysts,782
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",47261
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",910
HD01_VD45,Estimate; Total: - Fundraisers,56897
HD02_VD45,Margin of Error; Total: - Fundraisers,1476
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,59729
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,1237
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",50774
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",673
HD01_VD48,Estimate; Total: - Accountants and auditors,54559
HD02_VD48,Margin of Error; Total: - Accountants and auditors,339
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,46021
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,1893
HD01_VD50,Estimate; Total: - Budget analysts,65807
HD02_VD50,Margin of Error; Total: - Budget analysts,1640
HD01_VD51,Estimate; Total: - Credit analysts,50710
HD02_VD51,Margin of Error; Total: - Credit analysts,1217
HD01_VD52,Estimate; Total: - Financial analysts,66760
HD02_VD52,Margin of Error; Total: - Financial analysts,4288
HD01_VD53,Estimate; Total: - Personal financial advisors,60263
HD02_VD53,Margin of Error; Total: - Personal financial advisors,2212
HD01_VD54,Estimate; Total: - Insurance underwriters,53190
HD02_VD54,Margin of Error; Total: - Insurance underwriters,1003
HD01_VD55,Estimate; Total: - Financial examiners,59913
