GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,48520
HD02_VD01,Margin of Error; Total:,158
HD01_VD02,Estimate; Total: - Chief executives,126142
HD02_VD02,Margin of Error; Total: - Chief executives,1219
HD01_VD03,Estimate; Total: - General and operations managers,81041
HD02_VD03,Margin of Error; Total: - General and operations managers,677
HD01_VD04,Estimate; Total: - Legislators,71530
HD02_VD04,Margin of Error; Total: - Legislators,15657
HD01_VD05,Estimate; Total: - Advertising and promotions managers,75190
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,9482
HD01_VD06,Estimate; Total: - Marketing and sales managers,91998
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,1512
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,90071
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,6757
HD01_VD08,Estimate; Total: - Administrative services managers,66579
HD02_VD08,Margin of Error; Total: - Administrative services managers,2036
HD01_VD09,Estimate; Total: - Computer and information systems managers,101318
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,526
HD01_VD10,Estimate; Total: - Financial managers,90278
HD02_VD10,Margin of Error; Total: - Financial managers,1894
HD01_VD11,Estimate; Total: - Compensation and benefits managers,97552
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,24642
HD01_VD12,Estimate; Total: - Human resources managers,75328
HD02_VD12,Margin of Error; Total: - Human resources managers,3577
HD01_VD13,Estimate; Total: - Training and development managers,80754
HD02_VD13,Margin of Error; Total: - Training and development managers,4877
HD01_VD14,Estimate; Total: - Industrial production managers,74623
HD02_VD14,Margin of Error; Total: - Industrial production managers,1881
HD01_VD15,Estimate; Total: - Purchasing managers,81528
HD02_VD15,Margin of Error; Total: - Purchasing managers,2186
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52017
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",747
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",41691
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",407
HD01_VD18,Estimate; Total: - Construction managers,69556
HD02_VD18,Margin of Error; Total: - Construction managers,2502
HD01_VD19,Estimate; Total: - Education administrators,78115
HD02_VD19,Margin of Error; Total: - Education administrators,1996
HD01_VD20,Estimate; Total: - Architectural and engineering managers,121690
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1154
HD01_VD21,Estimate; Total: - Food service managers,41164
HD02_VD21,Margin of Error; Total: - Food service managers,434
HD01_VD22,Estimate; Total: - Funeral service managers,71617
HD02_VD22,Margin of Error; Total: - Funeral service managers,6186
HD01_VD23,Estimate; Total: - Gaming managers,52127
HD02_VD23,Margin of Error; Total: - Gaming managers,5045
HD01_VD24,Estimate; Total: - Lodging managers,50610
HD02_VD24,Margin of Error; Total: - Lodging managers,2549
HD01_VD25,Estimate; Total: - Medical and health services managers,84450
HD02_VD25,Margin of Error; Total: - Medical and health services managers,2674
HD01_VD26,Estimate; Total: - Natural sciences managers,121164
HD02_VD26,Margin of Error; Total: - Natural sciences managers,19825
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,77465
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,5015
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",57059
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",2541
HD01_VD29,Estimate; Total: - Social and community service managers,62367
HD02_VD29,Margin of Error; Total: - Social and community service managers,3008
HD01_VD30,Estimate; Total: - Emergency management directors,73478
HD02_VD30,Margin of Error; Total: - Emergency management directors,10616
HD01_VD31,"Estimate; Total: - Managers, all other",81462
HD02_VD31,"Margin of Error; Total: - Managers, all other",394
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",51910
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",4840
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",51063
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",2539
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",41619
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",1002
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",60957
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",800
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",60097
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",1964
HD01_VD37,Estimate; Total: - Compliance officers,66724
HD02_VD37,Margin of Error; Total: - Compliance officers,2405
HD01_VD38,Estimate; Total: - Cost estimators,60249
HD02_VD38,Margin of Error; Total: - Cost estimators,1742
HD01_VD39,Estimate; Total: - Human resources workers,63034
HD02_VD39,Margin of Error; Total: - Human resources workers,2108
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",61089
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",1821
HD01_VD41,Estimate; Total: - Training and development specialists,59310
HD02_VD41,Margin of Error; Total: - Training and development specialists,3544
HD01_VD42,Estimate; Total: - Logisticians,54698
HD02_VD42,Margin of Error; Total: - Logisticians,3737
HD01_VD43,Estimate; Total: - Management analysts,89151
HD02_VD43,Margin of Error; Total: - Management analysts,3265
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",47876
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",6077
HD01_VD45,Estimate; Total: - Fundraisers,69292
HD02_VD45,Margin of Error; Total: - Fundraisers,5958
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,80508
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,3865
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",67442
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",3008
HD01_VD48,Estimate; Total: - Accountants and auditors,72805
HD02_VD48,Margin of Error; Total: - Accountants and auditors,1679
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,61056
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,1046
HD01_VD50,Estimate; Total: - Budget analysts,78667
HD02_VD50,Margin of Error; Total: - Budget analysts,6619
HD01_VD51,Estimate; Total: - Credit analysts,56903
HD02_VD51,Margin of Error; Total: - Credit analysts,4313
HD01_VD52,Estimate; Total: - Financial analysts,100081
HD02_VD52,Margin of Error; Total: - Financial analysts,8788
HD01_VD53,Estimate; Total: - Personal financial advisors,98126
HD02_VD53,Margin of Error; Total: - Personal financial advisors,6037
HD01_VD54,Estimate; Total: - Insurance underwriters,75372
HD02_VD54,Margin of Error; Total: - Insurance underwriters,5972
HD01_VD55,Estimate; Total: - Financial examiners,77263
HD02_VD55,Margin of Error; Total: - Financial examiners,20790
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,69726
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,4067
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",66754
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",8885
HD01_VD58,Estimate; Total: - Tax preparers,70641
HD02_VD58,Margin of Error; Total: - Tax preparers,4459
HD01_VD59,"Estimate; Total: - Financial specialists, all other",81859
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",8688
HD01_VD60,Estimate; Total: - Computer and information research scientists,100222
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,5347
HD01_VD61,Estimate; Total: - Computer systems analysts,81174
HD02_VD61,Margin of Error; Total: - Computer systems analysts,784
HD01_VD62,Estimate; Total: - Information security analysts,86349
HD02_VD62,Margin of Error; Total: - Information security analysts,3589
HD01_VD63,Estimate; Total: - Computer programmers,81508
HD02_VD63,Margin of Error; Total: - Computer programmers,642
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software",96868
HD02_VD64,"Margin of Error; Total: - Software developers, applications and systems software",606
HD01_VD65,Estimate; Total: - Web developers,61566
HD02_VD65,Margin of Error; Total: - Web developers,1608
HD01_VD66,Estimate; Total: - Computer support specialists,53960
HD02_VD66,Margin of Error; Total: - Computer support specialists,1512
HD01_VD67,Estimate; Total: - Database administrators,84609
HD02_VD67,Margin of Error; Total: - Database administrators,3768
HD01_VD68,Estimate; Total: - Network and computer systems administrators,68363
HD02_VD68,Margin of Error; Total: - Network and computer systems administrators,1882
HD01_VD69,Estimate; Total: - Computer network architects,96549
HD02_VD69,Margin of Error; Total: - Computer network architects,2074
HD01_VD70,"Estimate; Total: - Computer occupations, all other",66971
HD02_VD70,"Margin of Error; Total: - Computer occupations, all other",1240
HD01_VD71,Estimate; Total: - Actuaries,116019
HD02_VD71,Margin of Error; Total: - Actuaries,9716
HD01_VD72,Estimate; Total: - Mathematicians,73799
HD02_VD72,Margin of Error; Total: - Mathematicians,25097
HD01_VD73,Estimate; Total: - Operations research analysts,86748
HD02_VD73,Margin of Error; Total: - Operations research analysts,2488
HD01_VD74,Estimate; Total: - Statisticians,87488
HD02_VD74,Margin of Error; Total: - Statisticians,6944
HD01_VD75,Estimate; Total: - Miscellaneous mathematical science occupations,75221
HD02_VD75,Margin of Error; Total: - Miscellaneous mathematical science occupations,24506
HD01_VD76,"Estimate; Total: - Architects, except naval",75395
HD02_VD76,"Margin of Error; Total: - Architects, except naval",1594
HD01_VD77,"Estimate; Total: - Surveyors, cartographers, and photogrammetrists",61190
HD02_VD77,"Margin of Error; Total: - Surveyors, cartographers, and photogrammetrists",2607
HD01_VD78,Estimate; Total: - Aerospace engineers,101260
HD02_VD78,Margin of Error; Total: - Aerospace engineers,1044
HD01_VD79,Estimate; Total: - Agricultural engineers,73207
HD02_VD79,Margin of Error; Total: - Agricultural engineers,6886
HD01_VD80,Estimate; Total: - Biomedical engineers,77459
HD02_VD80,Margin of Error; Total: - Biomedical engineers,7053
HD01_VD81,Estimate; Total: - Chemical engineers,100632
HD02_VD81,Margin of Error; Total: - Chemical engineers,1324
HD01_VD82,Estimate; Total: - Civil engineers,81911
HD02_VD82,Margin of Error; Total: - Civil engineers,665
HD01_VD83,Estimate; Total: - Computer hardware engineers,95258
HD02_VD83,Margin of Error; Total: - Computer hardware engineers,5105
HD01_VD84,Estimate; Total: - Electrical and electronics engineers,93351
HD02_VD84,Margin of Error; Total: - Electrical and electronics engineers,3115
HD01_VD85,Estimate; Total: - Environmental engineers,80413
HD02_VD85,Margin of Error; Total: - Environmental engineers,4113
HD01_VD86,"Estimate; Total: - Industrial engineers, including health and safety",76487
HD02_VD86,"Margin of Error; Total: - Industrial engineers, including health and safety",1018
HD01_VD87,Estimate; Total: - Marine engineers and naval architects,85451
HD02_VD87,Margin of Error; Total: - Marine engineers and naval architects,9105
HD01_VD88,Estimate; Total: - Materials engineers,80877
HD02_VD88,Margin of Error; Total: - Materials engineers,1733
HD01_VD89,Estimate; Total: - Mechanical engineers,80193
HD02_VD89,Margin of Error; Total: - Mechanical engineers,1139
HD01_VD90,"Estimate; Total: - Mining and geological engineers, including mining safety engineers",86617
HD02_VD90,"Margin of Error; Total: - Mining and geological engineers, including mining safety engineers",6726
HD01_VD91,Estimate; Total: - Nuclear engineers,86028
HD02_VD91,Margin of Error; Total: - Nuclear engineers,12977
HD01_VD92,Estimate; Total: - Petroleum engineers,109564
HD02_VD92,Margin of Error; Total: - Petroleum engineers,9103
HD01_VD93,"Estimate; Total: - Engineers, all other",91800
HD02_VD93,"Margin of Error; Total: - Engineers, all other",829
HD01_VD94,Estimate; Total: - Drafters,52296
HD02_VD94,Margin of Error; Total: - Drafters,807
HD01_VD95,"Estimate; Total: - Engineering technicians, except drafters",56847
HD02_VD95,"Margin of Error; Total: - Engineering technicians, except drafters",735
HD01_VD96,Estimate; Total: - Surveying and mapping technicians,49813
HD02_VD96,Margin of Error; Total: - Surveying and mapping technicians,2986
HD01_VD97,Estimate; Total: - Agricultural and food scientists,62867
HD02_VD97,Margin of Error; Total: - Agricultural and food scientists,3267
HD01_VD98,Estimate; Total: - Biological scientists,57653
HD02_VD98,Margin of Error; Total: - Biological scientists,3356
HD01_VD99,Estimate; Total: - Conservation scientists and foresters,58798
HD02_VD99,Margin of Error; Total: - Conservation scientists and foresters,5262
HD01_VD100,Estimate; Total: - Medical scientists,80113
HD02_VD100,Margin of Error; Total: - Medical scientists,5064
HD01_VD101,"Estimate; Total: - Life scientists, all other",54143
HD02_VD101,"Margin of Error; Total: - Life scientists, all other",52836
HD01_VD102,Estimate; Total: - Astronomers and physicists,100930
HD02_VD102,Margin of Error; Total: - Astronomers and physicists,15845
HD01_VD103,Estimate; Total: - Atmospheric and space scientists,76668
HD02_VD103,Margin of Error; Total: - Atmospheric and space scientists,8731
HD01_VD104,Estimate; Total: - Chemists and materials scientists,71853
HD02_VD104,Margin of Error; Total: - Chemists and materials scientists,2492
HD01_VD105,Estimate; Total: - Environmental scientists and geoscientists,77333
HD02_VD105,Margin of Error; Total: - Environmental scientists and geoscientists,5191
HD01_VD106,"Estimate; Total: - Physical scientists, all other",85195
HD02_VD106,"Margin of Error; Total: - Physical scientists, all other",3691
HD01_VD107,Estimate; Total: - Economists,120076
HD02_VD107,Margin of Error; Total: - Economists,10829
HD01_VD108,Estimate; Total: - Survey researchers,117685
HD02_VD108,Margin of Error; Total: - Survey researchers,129977
HD01_VD109,Estimate; Total: - Psychologists,76903
HD02_VD109,Margin of Error; Total: - Psychologists,5892
HD01_VD110,Estimate; Total: - Urban and regional planners,71693
HD02_VD110,Margin of Error; Total: - Urban and regional planners,5426
HD01_VD111,"Estimate; Total: - Miscellaneous social scientists and related workers, including sociologists",68632
HD02_VD111,"Margin of Error; Total: - Miscellaneous social scientists and related workers, including sociologists",6606
HD01_VD112,Estimate; Total: - Agricultural and food science technicians,45910
HD02_VD112,Margin of Error; Total: - Agricultural and food science technicians,2503
HD01_VD113,Estimate; Total: - Biological technicians,46823
HD02_VD113,Margin of Error; Total: - Biological technicians,4262
HD01_VD114,Estimate; Total: - Chemical technicians,51831
HD02_VD114,Margin of Error; Total: - Chemical technicians,1142
HD01_VD115,Estimate; Total: - Geological and petroleum technicians,62243
HD02_VD115,Margin of Error; Total: - Geological and petroleum technicians,5535
HD01_VD116,Estimate; Total: - Nuclear technicians,110076
HD02_VD116,Margin of Error; Total: - Nuclear technicians,43639
HD01_VD117,Estimate; Total: - Social science research assistants,40888
HD02_VD117,Margin of Error; Total: - Social science research assistants,707
HD01_VD118,"Estimate; Total: - Miscellaneous life, physical, and social science technicians",48138
HD02_VD118,"Margin of Error; Total: - Miscellaneous life, physical, and social science technicians",3217
HD01_VD119,Estimate; Total: - Counselors,42299
HD02_VD119,Margin of Error; Total: - Counselors,812
HD01_VD120,Estimate; Total: - Social workers,42821
HD02_VD120,Margin of Error; Total: - Social workers,1696
HD01_VD121,Estimate; Total: - Probation officers and correctional treatment specialists,47561
HD02_VD121,Margin of Error; Total: - Probation officers and correctional treatment specialists,2940
HD01_VD122,Estimate; Total: - Social and human service assistants,34967
HD02_VD122,Margin of Error; Total: - Social and human service assistants,3911
HD01_VD123,"Estimate; Total: - Miscellaneous community and social service specialists, including health educators and community health workers",47966
HD02_VD123,"Margin of Error; Total: - Miscellaneous community and social service specialists, including health educators and community health workers",4449
HD01_VD124,Estimate; Total: - Clergy,45350
HD02_VD124,Margin of Error; Total: - Clergy,754
HD01_VD125,"Estimate; Total: - Directors, religious activities and education",43053
HD02_VD125,"Margin of Error; Total: - Directors, religious activities and education",5308
HD01_VD126,"Estimate; Total: - Religious workers, all other",40454
HD02_VD126,"Margin of Error; Total: - Religious workers, all other",3602
HD01_VD127,Estimate; Total: - Lawyers,127337
HD02_VD127,Margin of Error; Total: - Lawyers,3325
HD01_VD128,Estimate; Total: - Judicial law clerks,54778
HD02_VD128,Margin of Error; Total: - Judicial law clerks,17258
HD01_VD129,"Estimate; Total: - Judges, magistrates, and other judicial workers",115636
HD02_VD129,"Margin of Error; Total: - Judges, magistrates, and other judicial workers",8736
HD01_VD130,Estimate; Total: - Paralegals and legal assistants,50498
HD02_VD130,Margin of Error; Total: - Paralegals and legal assistants,1230
HD01_VD131,Estimate; Total: - Miscellaneous legal support workers,60958
HD02_VD131,Margin of Error; Total: - Miscellaneous legal support workers,4137
HD01_VD132,Estimate; Total: - Postsecondary teachers,71414
HD02_VD132,Margin of Error; Total: - Postsecondary teachers,746
HD01_VD133,Estimate; Total: - Preschool and kindergarten teachers,30067
HD02_VD133,Margin of Error; Total: - Preschool and kindergarten teachers,5352
HD01_VD134,Estimate; Total: - Elementary and middle school teachers,51986
HD02_VD134,Margin of Error; Total: - Elementary and middle school teachers,279
HD01_VD135,Estimate; Total: - Secondary school teachers,52819
HD02_VD135,Margin of Error; Total: - Secondary school teachers,1073
HD01_VD136,Estimate; Total: - Special education teachers,46932
HD02_VD136,Margin of Error; Total: - Special education teachers,1315
HD01_VD137,Estimate; Total: - Other teachers and instructors,50250
HD02_VD137,Margin of Error; Total: - Other teachers and instructors,1023
HD01_VD138,"Estimate; Total: - Archivists, curators, and museum technicians",58285
HD02_VD138,"Margin of Error; Total: - Archivists, curators, and museum technicians",4589
HD01_VD139,Estimate; Total: - Librarians,51879
HD02_VD139,Margin of Error; Total: - Librarians,1362
HD01_VD140,Estimate; Total: - Library technicians,38063
HD02_VD140,Margin of Error; Total: - Library technicians,6062
HD01_VD141,Estimate; Total: - Teacher assistants,25873
HD02_VD141,Margin of Error; Total: - Teacher assistants,951
HD01_VD142,"Estimate; Total: - Other education, training, and library workers, except teacher assistants",55834
HD02_VD142,"Margin of Error; Total: - Other education, training, and library workers, except teacher assistants",3461
HD01_VD143,Estimate; Total: - Artists and related workers,54669
HD02_VD143,Margin of Error; Total: - Artists and related workers,5318
HD01_VD144,Estimate; Total: - Designers,55658
