GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,43053
HD02_VD01,Margin of Error; Total:,68
HD01_VD02,Estimate; Total: - Chief executives,118615
HD02_VD02,Margin of Error; Total: - Chief executives,2720
HD01_VD03,Estimate; Total: - General and operations managers,74131
HD02_VD03,Margin of Error; Total: - General and operations managers,568
HD01_VD04,Estimate; Total: - Legislators,62389
HD02_VD04,Margin of Error; Total: - Legislators,3548
HD01_VD05,Estimate; Total: - Advertising and promotions managers,61509
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1207
HD01_VD06,Estimate; Total: - Marketing and sales managers,80045
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,677
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,77911
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,2414
HD01_VD08,Estimate; Total: - Administrative services managers,63405
HD02_VD08,Margin of Error; Total: - Administrative services managers,1168
HD01_VD09,Estimate; Total: - Computer and information systems managers,98334
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,899
HD01_VD10,Estimate; Total: - Financial managers,69549
HD02_VD10,Margin of Error; Total: - Financial managers,775
HD01_VD11,Estimate; Total: - Compensation and benefits managers,75474
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,4629
HD01_VD12,Estimate; Total: - Human resources managers,68553
HD02_VD12,Margin of Error; Total: - Human resources managers,1177
HD01_VD13,Estimate; Total: - Training and development managers,73573
HD02_VD13,Margin of Error; Total: - Training and development managers,2046
HD01_VD14,Estimate; Total: - Industrial production managers,73017
HD02_VD14,Margin of Error; Total: - Industrial production managers,925
HD01_VD15,Estimate; Total: - Purchasing managers,71788
HD02_VD15,Margin of Error; Total: - Purchasing managers,867
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",51745
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",426
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",39543
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",781
HD01_VD18,Estimate; Total: - Construction managers,67877
HD02_VD18,Margin of Error; Total: - Construction managers,942
HD01_VD19,Estimate; Total: - Education administrators,67256
HD02_VD19,Margin of Error; Total: - Education administrators,439
HD01_VD20,Estimate; Total: - Architectural and engineering managers,122252
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1142
HD01_VD21,Estimate; Total: - Food service managers,36544
HD02_VD21,Margin of Error; Total: - Food service managers,250
HD01_VD22,Estimate; Total: - Funeral service managers,70100
HD02_VD22,Margin of Error; Total: - Funeral service managers,3076
HD01_VD23,Estimate; Total: - Gaming managers,49358
HD02_VD23,Margin of Error; Total: - Gaming managers,3155
HD01_VD24,Estimate; Total: - Lodging managers,42343
HD02_VD24,Margin of Error; Total: - Lodging managers,718
HD01_VD25,Estimate; Total: - Medical and health services managers,69951
HD02_VD25,Margin of Error; Total: - Medical and health services managers,674
HD01_VD26,Estimate; Total: - Natural sciences managers,95160
HD02_VD26,Margin of Error; Total: - Natural sciences managers,3375
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,65776
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,1339
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",49264
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",629
HD01_VD29,Estimate; Total: - Social and community service managers,54592
HD02_VD29,Margin of Error; Total: - Social and community service managers,619
HD01_VD30,Estimate; Total: - Emergency management directors,71935
HD02_VD30,Margin of Error; Total: - Emergency management directors,4940
HD01_VD31,"Estimate; Total: - Managers, all other",75657
HD02_VD31,"Margin of Error; Total: - Managers, all other",300
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",50621
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",2126
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",52267
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",3166
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",43704
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",903
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",52921
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",669
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",51146
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",406
HD01_VD37,Estimate; Total: - Compliance officers,63318
HD02_VD37,Margin of Error; Total: - Compliance officers,1025
HD01_VD38,Estimate; Total: - Cost estimators,60454
HD02_VD38,Margin of Error; Total: - Cost estimators,708
HD01_VD39,Estimate; Total: - Human resources workers,55057
HD02_VD39,Margin of Error; Total: - Human resources workers,471
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",51603
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",935
HD01_VD41,Estimate; Total: - Training and development specialists,55278
HD02_VD41,Margin of Error; Total: - Training and development specialists,1152
HD01_VD42,Estimate; Total: - Logisticians,52459
HD02_VD42,Margin of Error; Total: - Logisticians,1002
HD01_VD43,Estimate; Total: - Management analysts,80483
HD02_VD43,Margin of Error; Total: - Management analysts,504
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",47492
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",864
HD01_VD45,Estimate; Total: - Fundraisers,60602
HD02_VD45,Margin of Error; Total: - Fundraisers,1102
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,66628
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,926
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",56009
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",707
HD01_VD48,Estimate; Total: - Accountants and auditors,61492
HD02_VD48,Margin of Error; Total: - Accountants and auditors,233
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,54089
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,1631
HD01_VD50,Estimate; Total: - Budget analysts,69728
HD02_VD50,Margin of Error; Total: - Budget analysts,1614
HD01_VD51,Estimate; Total: - Credit analysts,53444
HD02_VD51,Margin of Error; Total: - Credit analysts,1524
HD01_VD52,Estimate; Total: - Financial analysts,86681
HD02_VD52,Margin of Error; Total: - Financial analysts,3071
HD01_VD53,Estimate; Total: - Personal financial advisors,82692
HD02_VD53,Margin of Error; Total: - Personal financial advisors,1385
HD01_VD54,Estimate; Total: - Insurance underwriters,57995
HD02_VD54,Margin of Error; Total: - Insurance underwriters,1359
HD01_VD55,Estimate; Total: - Financial examiners,72790
HD02_VD55,Margin of Error; Total: - Financial examiners,5840
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,54238
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,1037
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",51522
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",1026
HD01_VD58,Estimate; Total: - Tax preparers,50823
HD02_VD58,Margin of Error; Total: - Tax preparers,1405
HD01_VD59,"Estimate; Total: - Financial specialists, all other",56596
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",3130
HD01_VD60,Estimate; Total: - Computer and information research scientists,94935
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,5157
HD01_VD61,Estimate; Total: - Computer systems analysts,76809
HD02_VD61,Margin of Error; Total: - Computer systems analysts,540
HD01_VD62,Estimate; Total: - Information security analysts,84371
HD02_VD62,Margin of Error; Total: - Information security analysts,1946
HD01_VD63,Estimate; Total: - Computer programmers,80441
HD02_VD63,Margin of Error; Total: - Computer programmers,426
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software",93626
HD02_VD64,"Margin of Error; Total: - Software developers, applications and systems software",469
HD01_VD65,Estimate; Total: - Web developers,59109
HD02_VD65,Margin of Error; Total: - Web developers,1643
HD01_VD66,Estimate; Total: - Computer support specialists,54428
HD02_VD66,Margin of Error; Total: - Computer support specialists,494
HD01_VD67,Estimate; Total: - Database administrators,76172
HD02_VD67,Margin of Error; Total: - Database administrators,1553
HD01_VD68,Estimate; Total: - Network and computer systems administrators,68153
HD02_VD68,Margin of Error; Total: - Network and computer systems administrators,791
HD01_VD69,Estimate; Total: - Computer network architects,93678
HD02_VD69,Margin of Error; Total: - Computer network architects,1644
HD01_VD70,"Estimate; Total: - Computer occupations, all other",65785
HD02_VD70,"Margin of Error; Total: - Computer occupations, all other",862
HD01_VD71,Estimate; Total: - Actuaries,107333
HD02_VD71,Margin of Error; Total: - Actuaries,4922
HD01_VD72,Estimate; Total: - Mathematicians,100373
HD02_VD72,Margin of Error; Total: - Mathematicians,15978
HD01_VD73,Estimate; Total: - Operations research analysts,77275
HD02_VD73,Margin of Error; Total: - Operations research analysts,1008
HD01_VD74,Estimate; Total: - Statisticians,77637
HD02_VD74,Margin of Error; Total: - Statisticians,2877
HD01_VD75,Estimate; Total: - Miscellaneous mathematical science occupations,72196
HD02_VD75,Margin of Error; Total: - Miscellaneous mathematical science occupations,4469
HD01_VD76,"Estimate; Total: - Architects, except naval",72563
HD02_VD76,"Margin of Error; Total: - Architects, except naval",1207
HD01_VD77,"Estimate; Total: - Surveyors, cartographers, and photogrammetrists",56351
HD02_VD77,"Margin of Error; Total: - Surveyors, cartographers, and photogrammetrists",2614
HD01_VD78,Estimate; Total: - Aerospace engineers,100348
HD02_VD78,Margin of Error; Total: - Aerospace engineers,588
HD01_VD79,Estimate; Total: - Agricultural engineers,70882
HD02_VD79,Margin of Error; Total: - Agricultural engineers,4150
HD01_VD80,Estimate; Total: - Biomedical engineers,82890
HD02_VD80,Margin of Error; Total: - Biomedical engineers,2277
HD01_VD81,Estimate; Total: - Chemical engineers,96731
