GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,42498
HD02_VD01,Margin of Error; Total:,122
HD01_VD02,Estimate; Total: - Chief executives,120254
HD02_VD02,Margin of Error; Total: - Chief executives,1678
HD01_VD03,Estimate; Total: - General and operations managers,73557
HD02_VD03,Margin of Error; Total: - General and operations managers,1467
HD01_VD04,Estimate; Total: - Legislators,67155
HD02_VD04,Margin of Error; Total: - Legislators,7864
HD01_VD05,Estimate; Total: - Advertising and promotions managers,61371
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,1618
HD01_VD06,Estimate; Total: - Marketing and sales managers,78455
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,2233
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,74114
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,5148
HD01_VD08,Estimate; Total: - Administrative services managers,62187
HD02_VD08,Margin of Error; Total: - Administrative services managers,1633
HD01_VD09,Estimate; Total: - Computer and information systems managers,99167
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,1508
HD01_VD10,Estimate; Total: - Financial managers,70456
HD02_VD10,Margin of Error; Total: - Financial managers,643
HD01_VD11,Estimate; Total: - Compensation and benefits managers,71927
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,6822
HD01_VD12,Estimate; Total: - Human resources managers,67669
HD02_VD12,Margin of Error; Total: - Human resources managers,2219
HD01_VD13,Estimate; Total: - Training and development managers,74735
HD02_VD13,Margin of Error; Total: - Training and development managers,5065
HD01_VD14,Estimate; Total: - Industrial production managers,72414
HD02_VD14,Margin of Error; Total: - Industrial production managers,1494
HD01_VD15,Estimate; Total: - Purchasing managers,71237
HD02_VD15,Margin of Error; Total: - Purchasing managers,1076
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",52058
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",682
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",40638
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",397
HD01_VD18,Estimate; Total: - Construction managers,68101
HD02_VD18,Margin of Error; Total: - Construction managers,2586
HD01_VD19,Estimate; Total: - Education administrators,66889
HD02_VD19,Margin of Error; Total: - Education administrators,735
HD01_VD20,Estimate; Total: - Architectural and engineering managers,121336
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,1031
HD01_VD21,Estimate; Total: - Food service managers,36586
HD02_VD21,Margin of Error; Total: - Food service managers,379
HD01_VD22,Estimate; Total: - Funeral service managers,70805
HD02_VD22,Margin of Error; Total: - Funeral service managers,5052
HD01_VD23,Estimate; Total: - Gaming managers,51221
HD02_VD23,Margin of Error; Total: - Gaming managers,4580
HD01_VD24,Estimate; Total: - Lodging managers,41824
HD02_VD24,Margin of Error; Total: - Lodging managers,1392
HD01_VD25,Estimate; Total: - Medical and health services managers,69563
HD02_VD25,Margin of Error; Total: - Medical and health services managers,1264
HD01_VD26,Estimate; Total: - Natural sciences managers,94448
HD02_VD26,Margin of Error; Total: - Natural sciences managers,10526
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,65191
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,2791
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",47936
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",1286
HD01_VD29,Estimate; Total: - Social and community service managers,55473
HD02_VD29,Margin of Error; Total: - Social and community service managers,1159
HD01_VD30,Estimate; Total: - Emergency management directors,73381
HD02_VD30,Margin of Error; Total: - Emergency management directors,7518
HD01_VD31,"Estimate; Total: - Managers, all other",75912
HD02_VD31,"Margin of Error; Total: - Managers, all other",450
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",51244
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",2740
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",51036
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",2541
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",42170
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",1031
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",54632
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",1469
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",51134
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",496
HD01_VD37,Estimate; Total: - Compliance officers,62311
HD02_VD37,Margin of Error; Total: - Compliance officers,1396
HD01_VD38,Estimate; Total: - Cost estimators,57333
HD02_VD38,Margin of Error; Total: - Cost estimators,2318
HD01_VD39,Estimate; Total: - Human resources workers,54989
HD02_VD39,Margin of Error; Total: - Human resources workers,1099
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",50968
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",1323
HD01_VD41,Estimate; Total: - Training and development specialists,52417
HD02_VD41,Margin of Error; Total: - Training and development specialists,2293
HD01_VD42,Estimate; Total: - Logisticians,52109
HD02_VD42,Margin of Error; Total: - Logisticians,1124
HD01_VD43,Estimate; Total: - Management analysts,80220
HD02_VD43,Margin of Error; Total: - Management analysts,1002
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",47088
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",1238
HD01_VD45,Estimate; Total: - Fundraisers,60802
HD02_VD45,Margin of Error; Total: - Fundraisers,1626
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,67154
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,2290
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",56945
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",1310
HD01_VD48,Estimate; Total: - Accountants and auditors,61270
HD02_VD48,Margin of Error; Total: - Accountants and auditors,307
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,55227
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,3374
HD01_VD50,Estimate; Total: - Budget analysts,70429
HD02_VD50,Margin of Error; Total: - Budget analysts,2889
HD01_VD51,Estimate; Total: - Credit analysts,53869
HD02_VD51,Margin of Error; Total: - Credit analysts,3520
HD01_VD52,Estimate; Total: - Financial analysts,84140
HD02_VD52,Margin of Error; Total: - Financial analysts,5966
HD01_VD53,Estimate; Total: - Personal financial advisors,82142
HD02_VD53,Margin of Error; Total: - Personal financial advisors,2554
HD01_VD54,Estimate; Total: - Insurance underwriters,58402
HD02_VD54,Margin of Error; Total: - Insurance underwriters,2722
HD01_VD55,Estimate; Total: - Financial examiners,71779
HD02_VD55,Margin of Error; Total: - Financial examiners,8345
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,54535
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,2256
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",49380
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",2627
HD01_VD58,Estimate; Total: - Tax preparers,56047
HD02_VD58,Margin of Error; Total: - Tax preparers,4054
HD01_VD59,"Estimate; Total: - Financial specialists, all other",61323
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",3967
HD01_VD60,Estimate; Total: - Computer and information research scientists,95918
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,6650
HD01_VD61,Estimate; Total: - Computer systems analysts,75886
HD02_VD61,Margin of Error; Total: - Computer systems analysts,895
HD01_VD62,Estimate; Total: - Information security analysts,84140
HD02_VD62,Margin of Error; Total: - Information security analysts,3534
HD01_VD63,Estimate; Total: - Computer programmers,80512
HD02_VD63,Margin of Error; Total: - Computer programmers,546
HD01_VD64,"Estimate; Total: - Software developers, applications and systems software",94025
HD02_VD64,"Margin of Error; Total: - Software developers, applications and systems software",1028
HD01_VD65,Estimate; Total: - Web developers,60056
HD02_VD65,Margin of Error; Total: - Web developers,2960
HD01_VD66,Estimate; Total: - Computer support specialists,52063
HD02_VD66,Margin of Error; Total: - Computer support specialists,474
HD01_VD67,Estimate; Total: - Database administrators,75824
HD02_VD67,Margin of Error; Total: - Database administrators,2030
HD01_VD68,Estimate; Total: - Network and computer systems administrators,67246
HD02_VD68,Margin of Error; Total: - Network and computer systems administrators,1058
HD01_VD69,Estimate; Total: - Computer network architects,96372
HD02_VD69,Margin of Error; Total: - Computer network architects,2028
HD01_VD70,"Estimate; Total: - Computer occupations, all other",66550
HD02_VD70,"Margin of Error; Total: - Computer occupations, all other",1004
HD01_VD71,Estimate; Total: - Actuaries,112191
HD02_VD71,Margin of Error; Total: - Actuaries,9054
HD01_VD72,Estimate; Total: - Mathematicians,79256
HD02_VD72,Margin of Error; Total: - Mathematicians,23025
HD01_VD73,Estimate; Total: - Operations research analysts,77172
HD02_VD73,Margin of Error; Total: - Operations research analysts,1922
HD01_VD74,Estimate; Total: - Statisticians,81209
HD02_VD74,Margin of Error; Total: - Statisticians,3484
HD01_VD75,Estimate; Total: - Miscellaneous mathematical science occupations,70370
HD02_VD75,Margin of Error; Total: - Miscellaneous mathematical science occupations,7236
HD01_VD76,"Estimate; Total: - Architects, except naval",71305
HD02_VD76,"Margin of Error; Total: - Architects, except naval",1345
HD01_VD77,"Estimate; Total: - Surveyors, cartographers, and photogrammetrists",59354
HD02_VD77,"Margin of Error; Total: - Surveyors, cartographers, and photogrammetrists",4889
HD01_VD78,Estimate; Total: - Aerospace engineers,100701
HD02_VD78,Margin of Error; Total: - Aerospace engineers,975
HD01_VD79,Estimate; Total: - Agricultural engineers,70585
HD02_VD79,Margin of Error; Total: - Agricultural engineers,13231
HD01_VD80,Estimate; Total: - Biomedical engineers,78629
HD02_VD80,Margin of Error; Total: - Biomedical engineers,6235
HD01_VD81,Estimate; Total: - Chemical engineers,100231
HD02_VD81,Margin of Error; Total: - Chemical engineers,2729
HD01_VD82,Estimate; Total: - Civil engineers,81233
HD02_VD82,Margin of Error; Total: - Civil engineers,641
HD01_VD83,Estimate; Total: - Computer hardware engineers,91967
HD02_VD83,Margin of Error; Total: - Computer hardware engineers,2452
HD01_VD84,Estimate; Total: - Electrical and electronics engineers,91895
HD02_VD84,Margin of Error; Total: - Electrical and electronics engineers,973
HD01_VD85,Estimate; Total: - Environmental engineers,77406
HD02_VD85,Margin of Error; Total: - Environmental engineers,3226
HD01_VD86,"Estimate; Total: - Industrial engineers, including health and safety",75131
HD02_VD86,"Margin of Error; Total: - Industrial engineers, including health and safety",1226
HD01_VD87,Estimate; Total: - Marine engineers and naval architects,81250
HD02_VD87,Margin of Error; Total: - Marine engineers and naval architects,8309
HD01_VD88,Estimate; Total: - Materials engineers,80011
HD02_VD88,Margin of Error; Total: - Materials engineers,5042
HD01_VD89,Estimate; Total: - Mechanical engineers,79565
HD02_VD89,Margin of Error; Total: - Mechanical engineers,1933
HD01_VD90,"Estimate; Total: - Mining and geological engineers, including mining safety engineers",87279
HD02_VD90,"Margin of Error; Total: - Mining and geological engineers, including mining safety engineers",8108
HD01_VD91,Estimate; Total: - Nuclear engineers,84017
HD02_VD91,Margin of Error; Total: - Nuclear engineers,9538
HD01_VD92,Estimate; Total: - Petroleum engineers,110560
HD02_VD92,Margin of Error; Total: - Petroleum engineers,8495
HD01_VD93,"Estimate; Total: - Engineers, all other",90913
HD02_VD93,"Margin of Error; Total: - Engineers, all other",750
HD01_VD94,Estimate; Total: - Drafters,51609
HD02_VD94,Margin of Error; Total: - Drafters,608
HD01_VD95,"Estimate; Total: - Engineering technicians, except drafters",54623
HD02_VD95,"Margin of Error; Total: - Engineering technicians, except drafters",1251
HD01_VD96,Estimate; Total: - Surveying and mapping technicians,48685
HD02_VD96,Margin of Error; Total: - Surveying and mapping technicians,3139
HD01_VD97,Estimate; Total: - Agricultural and food scientists,60826
HD02_VD97,Margin of Error; Total: - Agricultural and food scientists,1618
HD01_VD98,Estimate; Total: - Biological scientists,57426
HD02_VD98,Margin of Error; Total: - Biological scientists,2830
HD01_VD99,Estimate; Total: - Conservation scientists and foresters,56075
HD02_VD99,Margin of Error; Total: - Conservation scientists and foresters,3118
HD01_VD100,Estimate; Total: - Medical scientists,71375
HD02_VD100,Margin of Error; Total: - Medical scientists,1714
HD01_VD101,"Estimate; Total: - Life scientists, all other",61321
HD02_VD101,"Margin of Error; Total: - Life scientists, all other",33446
HD01_VD102,Estimate; Total: - Astronomers and physicists,101983
HD02_VD102,Margin of Error; Total: - Astronomers and physicists,9678
HD01_VD103,Estimate; Total: - Atmospheric and space scientists,69873
HD02_VD103,Margin of Error; Total: - Atmospheric and space scientists,10080
HD01_VD104,Estimate; Total: - Chemists and materials scientists,69780
HD02_VD104,Margin of Error; Total: - Chemists and materials scientists,2284
HD01_VD105,Estimate; Total: - Environmental scientists and geoscientists,71065
HD02_VD105,Margin of Error; Total: - Environmental scientists and geoscientists,1643
HD01_VD106,"Estimate; Total: - Physical scientists, all other",74592
HD02_VD106,"Margin of Error; Total: - Physical scientists, all other",3541
HD01_VD107,Estimate; Total: - Economists,105834
HD02_VD107,Margin of Error; Total: - Economists,8582
HD01_VD108,Estimate; Total: - Survey researchers,70521
HD02_VD108,Margin of Error; Total: - Survey researchers,8588
HD01_VD109,Estimate; Total: - Psychologists,66764
HD02_VD109,Margin of Error; Total: - Psychologists,1733
HD01_VD110,Estimate; Total: - Urban and regional planners,67392
HD02_VD110,Margin of Error; Total: - Urban and regional planners,3110
HD01_VD111,"Estimate; Total: - Miscellaneous social scientists and related workers, including sociologists",59540
HD02_VD111,"Margin of Error; Total: - Miscellaneous social scientists and related workers, including sociologists",6171
HD01_VD112,Estimate; Total: - Agricultural and food science technicians,42576
HD02_VD112,Margin of Error; Total: - Agricultural and food science technicians,3805
HD01_VD113,Estimate; Total: - Biological technicians,45798
HD02_VD113,Margin of Error; Total: - Biological technicians,4328
HD01_VD114,Estimate; Total: - Chemical technicians,50982
HD02_VD114,Margin of Error; Total: - Chemical technicians,949
HD01_VD115,Estimate; Total: - Geological and petroleum technicians,61110
HD02_VD115,Margin of Error; Total: - Geological and petroleum technicians,3363
HD01_VD116,Estimate; Total: - Nuclear technicians,100455
HD02_VD116,Margin of Error; Total: - Nuclear technicians,38104
HD01_VD117,Estimate; Total: - Social science research assistants,40464
HD02_VD117,Margin of Error; Total: - Social science research assistants,2396
